asset,alpha,beta,lambda,mean_return,volatility,kurtosis,skew,VaR_95,CVaR_95,vol_cluster,GBM_mean,GBM_vol,GBM_kurtosis,GBM_skew,GBM_VaR,GBM_CVaR,GBM_vol_cluster
SPY,0.1,-0.125,0.35,0.005048499992160145,0.2053371781465974,-0.013575226405609708,0.011073396578499655,-0.33113190005207144,-0.4171916583178134,0.002698100275945196,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.39999999999999997,0.00610341986779692,0.20576200213108603,0.0013173940430002418,-0.0006026451433898919,-0.33192828130953633,-0.41851556283629004,0.0009278077327900437,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.44999999999999996,0.005574965237329314,0.2069423986342024,-8.573205217254909e-05,-0.006976353071797873,-0.3351056547575507,-0.42150690316943656,-0.004121514799571821,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.49999999999999994,0.0047319904874482555,0.20644806002858593,0.003324274679386452,0.006897319754559576,-0.33402222513673174,-0.4208061317090599,0.0018344291528576454,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.5499999999999999,0.006098364683029449,0.20805760563309833,0.004890814474554084,-0.001963420268164007,-0.3363949710121443,-0.42315609413794425,-0.000747902027006996,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.6,0.00576950073894862,0.20767992755254056,0.00741333105647124,-0.0018477126047700741,-0.3365496545621594,-0.42344859629423937,0.00402777037050468,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.65,0.0048483041445003166,0.20868817938780662,0.012424338067746898,-0.005116022977883195,-0.33827517426491926,-0.42604372044724925,0.0035949425700056376,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.7,0.004809752284060187,0.20932633409071263,0.018087287591134427,0.003933141081242984,-0.3403729943908427,-0.42772381671949705,0.001989779618581785,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.75,0.005010441171451004,0.20958757324162072,-0.006392235193225737,0.0017328686150773172,-0.34008141181957013,-0.4268266358474162,-0.0010385345988493657,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
SPY,0.1,-0.125,0.7999999999999999,0.005143970577216733,0.21023402309982508,0.007600527734283435,0.0006394174593603588,-0.34155174934664223,-0.4287958234656122,0.0028377981334450986,0.11077137896494695,0.21038344014338403,0.007989532651468956,-0.01542656395950956,-0.23807859601707984,-0.3254780689718261,-0.0032994778875347895
